nome_mun,nome_meso,renocup,cpr,emp,p_agro,p_com,p_serv,p_transf,p_formal,popul,pib,porte
São Roque de Minas,Oeste de Minas,965.06,37.45,1.08,41.39,11.08,30.71,7.43,36.98,6621,84130.54,pequenoI
São Sebastião da Bela Vista,Sul/Sudoeste de Minas,924.33,18.42,2.24,36.32,12.67,27.67,15.23,64.53,4922,56425.901,pequenoI
São Sebastião da Vargem Alegre,Zona da Mata,626.1,28.13,0.0,49.37,5.2,32.35,2.47,35.05,2797,37939.877,pequenoI
São Sebastião do Anta,Vale do Rio Doce,530.27,24.5,0.7,61.17,9.65,20.52,1.39,30.35,5739,30671.254,pequenoI
São Sebastião do Maranhão,Vale do Rio Doce,441.91,23.96,0.31,58.86,5.44,22.51,3.82,16.75,10608,73258.383,pequenoI
São Sebastião do Oeste,Oeste de Minas,812.33,20.76,1.65,36.36,3.29,20.12,23.37,56.76,5756,167712.015,pequenoI
São Sebastião do Paraíso,Sul/Sudoeste de Minas,1173.64,18.27,2.42,15.48,14.31,37.8,17.98,71.15,64629,1061147.955,medioI
São Sebastião do Rio Preto,Metropolitana de Belo Horizonte,578.6,19.62,1.47,32.36,5.96,48.29,2.41,43.88,1606,12066.451000000001,pequenoI
São Sebastião do Rio Verde,Sul/Sudoeste de Minas,710.65,25.8,0.44,27.83,7.42,35.93,17.75,57.47,2107,16381.17,pequenoI
São Tiago,Campo das Vertentes,742.42,20.83,0.94,32.55,13.94,27.73,13.0,53.57,10532,73095.622,pequenoI
São Tomás de Aquino,Sul/Sudoeste de Minas,843.39,23.87,0.12,57.77,7.88,21.47,7.34,47.49,7058,82453.65400000001,pequenoI
São Thomé das Letras,Sul/Sudoeste de Minas,648.83,24.84,1.75,23.58,8.72,25.52,4.32,48.34,6576,54557.814000000006,pequenoI
São Vicente de Minas,Sul/Sudoeste de Minas,831.29,20.23,2.99,29.55,9.44,37.8,14.6,56.82,6993,67188.428,pequenoI
Sapucaí-Mirim,Sul/Sudoeste de Minas,799.69,18.26,1.3,19.68,8.24,35.22,16.72,50.49,6221,69173.25200000001,pequenoI
Sardoá,Vale do Rio Doce,517.31,12.14,3.54,35.3,10.86,32.64,2.36,27.89,5558,34253.358,pequenoI
Sarzedo,Metropolitana de Belo Horizonte,1091.06,18.33,1.31,4.61,11.0,45.24,16.8,70.05,25765,394851.727,pequenoII
Setubinha,Vale do Mucuri,367.22,9.25,0.39,66.21,3.8,19.18,2.15,22.31,10854,40246.823,pequenoI
Sem-Peixe,Zona da Mata,410.71,18.55,0.33,62.95,3.88,23.11,1.27,25.89,2842,14855.258999999998,pequenoI
Senador Amaral,Sul/Sudoeste de Minas,604.27,40.11,1.41,69.54,7.9,17.13,1.61,22.05,5210,34350.821,pequenoI
Senador Cortes,Zona da Mata,630.75,17.4,1.78,28.03,8.07,31.96,24.08,52.13,1986,12532.386999999999,pequenoI
Senador Firmino,Zona da Mata,624.51,23.06,0.9,33.41,8.17,34.57,7.91,41.49,7177,43002.922,pequenoI
